"nin.yrs","nin.phase","nin.str","nin.yr.strt","nin.yr.end"
"1951-52","nino","wk",1951,1952
"1952-53","nino","wk",1952,1953
"1953-54","nino","wk",1953,1954
"1958-59","nino","wk",1958,1959
"1968-69","nino","wk",1968,1969
"1969-70","nino","wk",1969,1970
"1976-77","nino","wk",1976,1977
"1977-78","nino","wk",1977,1978
"1979-80","nino","wk",1979,1980
"1994-95","nino","wk",1994,1995
"2004-05","nino","wk",2004,2005
"2006-07","nino","wk",2006,2007
"1963-64","nino","mod",1963,1964
"1986-87","nino","mod",1986,1987
"1987-88","nino","mod",1987,1988
"1991-92","nino","mod",1991,1992
"2002-03","nino","mod",2002,2003
"2009-10","nino","mod",2009,2010
"1957-58","nino","str",1957,1958
"1965-66","nino","str",1965,1966
"1972-73","nino","str",1972,1973
"1982-83","nino","vry.str",1982,1983
"1997-98","nino","vry.str",1997,1998
"2015-16","nino","vry.str",2015,2016
"1950-51","nina","wk",1950,1951
"1954-55","nina","wk",1954,1955
"1964-65","nina","wk",1964,1965
"1967-68","nina","wk",1967,1968
"1971-72","nina","wk",1971,1972
"1974-75","nina","wk",1974,1975
"1983-84","nina","wk",1983,1984
"1984-85","nina","wk",1984,1985
"1995-96","nina","wk",1995,1996
"2000-01","nina","wk",2000,2001
"2011-12","nina","wk",2011,2012
"2016-17","nina","wk",2016,2017
"1955-56","nina","mod",1955,1956
"1970-71","nina","mod",1970,1971
"1998-99","nina","mod",1998,1999
"1999-00","nina","mod",1999,2000
"2007-08","nina","mod",2007,2008
"2010-11","nina","mod",2010,2011
"1973-74","nina","str",1973,1974
"1975-76","nina","str",1975,1976
"1988-89","nina","str",1988,1989
